Round Number,Date,Location,Home Team,Away Team,Result
7,09/12/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,
7,09/12/2019 22:30,Chase Center,Golden State Warriors,Memphis Grizzlies,
7,10/12/2019 19:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
7,10/12/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,
7,10/12/2019 20:00,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,
7,10/12/2019 22:00,Moda Center,Portland Trail Blazers,New York Knicks,
7,11/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,
7,11/12/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
7,11/12/2019 19:00,Amway Center,Orlando Magic,Los Angeles Lakers,
7,11/12/2019 19:00,Scotiabank Arena,Toronto Raptors,LA Clippers,
7,11/12/2019 19:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,
7,11/12/2019 20:00,United Center,Chicago Bulls,Atlanta Hawks,
7,11/12/2019 20:00,Target Center,Minnesota Timberwolves,Utah Jazz,
7,11/12/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,
7,11/12/2019 21:30,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,
7,11/12/2019 22:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
7,11/12/2019 22:30,Chase Center,Golden State Warriors,New York Knicks,
8,12/12/2019 20:00,TD Garden,Boston Celtics,Philadelphia 76ers,
8,12/12/2019 20:30,AT&T Center,San Antonio Spurs,Cleveland Cavaliers,
8,12/12/2019 21:00,Arena Ciudad de Mexico,Detroit Pistons,Dallas Mavericks,
8,12/12/2019 22:30,Pepsi Center,Denver Nuggets,Portland Trail Blazers,
8,13/12/2019 19:00,Amway Center,Orlando Magic,Houston Rockets,
8,13/12/2019 19:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,
8,13/12/2019 19:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,
8,13/12/2019 20:00,AmericanAirlines Arena,Miami Heat,Los Angeles Lakers,
8,13/12/2019 20:00,United Center,Chicago Bulls,Charlotte Hornets,
8,13/12/2019 20:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,
8,13/12/2019 20:00,Target Center,Minnesota Timberwolves,LA Clippers,
8,13/12/2019 22:00,Golden 1 Center,Sacramento Kings,New York Knicks,
8,13/12/2019 22:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,
8,14/12/2019 17:00,Arena Ciudad de Mexico,Phoenix Suns,San Antonio Spurs,
8,14/12/2019 19:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,
8,14/12/2019 20:00,United Center,Chicago Bulls,LA Clippers,
8,14/12/2019 20:00,FedExForum,Memphis Grizzlies,Washington Wizards,
8,14/12/2019 20:30,American Airlines Center,Dallas Mavericks,Miami Heat,
8,14/12/2019 20:30,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,
8,14/12/2019 21:00,Toyota Center,Houston Rockets,Detroit Pistons,
8,14/12/2019 21:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,
8,15/12/2019 15:30,Smoothie King Center,New Orleans Pelicans,Orlando Magic,
8,15/12/2019 17:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,
8,15/12/2019 18:00,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,
8,15/12/2019 18:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
8,15/12/2019 20:00,Pepsi Center,Denver Nuggets,New York Knicks,
8,15/12/2019 20:30,Chase Center,Golden State Warriors,Sacramento Kings,
8,16/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
8,16/12/2019 19:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
8,16/12/2019 20:00,Toyota Center,Houston Rockets,San Antonio Spurs,
8,16/12/2019 20:00,FedExForum,Memphis Grizzlies,Miami Heat,
8,16/12/2019 20:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,
8,16/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Chicago Bulls,
8,16/12/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Portland Trail Blazers,
8,17/12/2019 19:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,
8,17/12/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Los Angeles Lakers,
8,17/12/2019 19:30,Madison Square Garden,New York Knicks,Atlanta Hawks,
8,17/12/2019 20:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,
8,17/12/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Orlando Magic,
8,17/12/2019 22:30,Staples Center,LA Clippers,Phoenix Suns,
8,18/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
8,18/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,
8,18/12/2019 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,
8,18/12/2019 19:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
8,18/12/2019 20:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
8,18/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,
8,18/12/2019 20:30,American Airlines Center,Dallas Mavericks,Boston Celtics,
8,18/12/2019 21:00,Pepsi Center,Denver Nuggets,Orlando Magic,
8,18/12/2019 22:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
9,19/12/2019 19:30,State Farm Arena,Atlanta Hawks,Utah Jazz,
9,19/12/2019 20:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,
9,19/12/2019 20:30,AT&T Center,San Antonio Spurs,Brooklyn Nets,
9,19/12/2019 22:30,Staples Center,LA Clippers,Houston Rockets,
9,20/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,
9,20/12/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Sacramento Kings,
9,20/12/2019 19:30,TD Garden,Boston Celtics,Detroit Pistons,
9,20/12/2019 19:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,
9,20/12/2019 20:00,AmericanAirlines Arena,Miami Heat,New York Knicks,
9,20/12/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,
9,20/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,
9,20/12/2019 21:00,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,
9,20/12/2019 22:00,Moda Center,Portland Trail Blazers,Orlando Magic,
9,20/12/2019 22:30,Chase Center,Golden State Warriors,New Orleans Pelicans,
9,21/12/2019 17:00,Spectrum Center,Charlotte Hornets,Utah Jazz,
9,21/12/2019 18:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,
9,21/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
9,21/12/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
9,21/12/2019 19:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,
9,21/12/2019 20:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
9,21/12/2019 20:30,AT&T Center,San Antonio Spurs,LA Clippers,
9,21/12/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Houston Rockets,
9,21/12/2019 22:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,
9,22/12/2019 15:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,
9,22/12/2019 18:00,TD Garden,Boston Celtics,Charlotte Hornets,
9,22/12/2019 19:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
9,22/12/2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,
9,22/12/2019 21:30,Staples Center,Los Angeles Lakers,Denver Nuggets,
9,23/12/2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
9,23/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
9,23/12/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,
9,23/12/2019 19:00,Madison Square Garden,New York Knicks,Washington Wizards,
9,23/12/2019 19:00,Amway Center,Orlando Magic,Chicago Bulls,
9,23/12/2019 19:30,AmericanAirlines Arena,Miami Heat,Utah Jazz,
9,23/12/2019 20:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
9,23/12/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,
9,23/12/2019 22:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
9,23/12/2019 22:00,Golden 1 Center,Sacramento Kings,Houston Rockets,
9,23/12/2019 22:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,
9,25/12/2019 12:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,
9,25/12/2019 14:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
9,25/12/2019 17:00,Chase Center,Golden State Warriors,Houston Rockets,
9,25/12/2019 20:00,Staples Center,Los Angeles Lakers,LA Clippers,
9,25/12/2019 22:30,Pepsi Center,Denver Nuggets,New Orleans Pelicans,
10,26/12/2019 19:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
10,26/12/2019 20:00,Barclays Center,Brooklyn Nets,New York Knicks,
10,26/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Memphis Grizzlies,
10,26/12/2019 20:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,
10,26/12/2019 22:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
10,26/12/2019 22:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,
10,27/12/2019 16:00,TD Garden,Boston Celtics,Cleveland Cavaliers,
10,27/12/2019 19:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,
10,27/12/2019 19:00,Amway Center,Orlando Magic,Philadelphia 76ers,
10,27/12/2019 19:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
10,27/12/2019 20:00,AmericanAirlines Arena,Miami Heat,Indiana Pacers,
10,27/12/2019 22:30,Chase Center,Golden State Warriors,Phoenix Suns,
10,28/12/2019 17:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,
10,28/12/2019 19:00,TD Garden,Boston Celtics,Toronto Raptors,
10,28/12/2019 19:00,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,
10,28/12/2019 20:00,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,
10,28/12/2019 20:00,Capital One Arena,Washington Wizards,New York Knicks,
10,28/12/2019 20:00,United Center,Chicago Bulls,Atlanta Hawks,
10,28/12/2019 20:00,Toyota Center,Houston Rockets,Brooklyn Nets,
10,28/12/2019 20:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
10,28/12/2019 20:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,
10,28/12/2019 20:30,AT&T Center,San Antonio Spurs,Detroit Pistons,
10,28/12/2019 20:30,Chase Center,Golden State Warriors,Dallas Mavericks,
10,28/12/2019 21:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
10,28/12/2019 22:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
10,28/12/2019 22:30,Staples Center,LA Clippers,Utah Jazz,
10,29/12/2019 18:00,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,
10,29/12/2019 20:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,
10,29/12/2019 20:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,
10,29/12/2019 20:00,Pepsi Center,Denver Nuggets,Sacramento Kings,
10,29/12/2019 21:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,
10,30/12/2019 19:00,Amway Center,Orlando Magic,Atlanta Hawks,
10,30/12/2019 19:00,Capital One Arena,Washington Wizards,Miami Heat,
10,30/12/2019 20:00,United Center,Chicago Bulls,Milwaukee Bucks,
10,30/12/2019 20:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,
10,30/12/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Detroit Pistons,
10,30/12/2019 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
10,31/12/2019 15:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
10,31/12/2019 15:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,
10,31/12/2019 17:00,Golden 1 Center,Sacramento Kings,LA Clippers,
10,31/12/2019 19:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
10,31/12/2019 19:00,Toyota Center,Houston Rockets,Denver Nuggets,
10,31/12/2019 19:00,AT&T Center,San Antonio Spurs,Golden State Warriors,
10,31/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,
10,01/01/2020 18:00,Capital One Arena,Washington Wizards,Orlando Magic,
10,01/01/2020 19:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,
10,01/01/2020 20:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,
10,01/01/2020 22:30,Staples Center,Los Angeles Lakers,Phoenix Suns,
11,02/01/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
11,02/01/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Denver Nuggets,
11,02/01/2020 19:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,
11,02/01/2020 20:00,United Center,Chicago Bulls,Utah Jazz,
11,02/01/2020 20:00,Target Center,Minnesota Timberwolves,Golden State Warriors,
11,02/01/2020 20:30,American Airlines Center,Dallas Mavericks,Brooklyn Nets,
11,02/01/2020 20:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,
11,02/01/2020 22:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
11,02/01/2020 22:30,Staples Center,LA Clippers,Detroit Pistons,
11,03/01/2020 19:00,TD Garden,Boston Celtics,Atlanta Hawks,
11,03/01/2020 19:00,Amway Center,Orlando Magic,Miami Heat,
11,03/01/2020 19:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,
11,03/01/2020 20:00,Toyota Center,Houston Rockets,Philadelphia 76ers,
11,03/01/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,New York Knicks,
11,03/01/2020 22:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,
11,04/01/2020 15:30,Staples Center,LA Clippers,Memphis Grizzlies,
11,04/01/2020 18:00,Barclays Center,Brooklyn Nets,Toronto Raptors,
11,04/01/2020 19:00,Amway Center,Orlando Magic,Utah Jazz,
11,04/01/2020 19:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,
11,04/01/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,
11,04/01/2020 20:00,Capital One Arena,Washington Wizards,Denver Nuggets,
11,04/01/2020 20:00,United Center,Chicago Bulls,Boston Celtics,
11,04/01/2020 20:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
11,04/01/2020 20:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,
11,04/01/2020 20:30,Chase Center,Golden State Warriors,Detroit Pistons,
11,04/01/2020 22:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
11,05/01/2020 15:30,Staples Center,LA Clippers,New York Knicks,
11,05/01/2020 18:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,
11,05/01/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,
11,05/01/2020 20:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,
