Round Number,Date,Location,Home Team,Away Team,Result
24,13/04/2020 20:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,
24,13/04/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,
24,13/04/2020 21:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,
24,13/04/2020 22:30,Chase Center,Golden State Warriors,Portland Trail Blazers,
24,13/04/2020 22:30,Staples Center,LA Clippers,Minnesota Timberwolves,
24,14/04/2020 19:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,
24,14/04/2020 19:30,Madison Square Garden,New York Knicks,Detroit Pistons,
24,14/04/2020 22:00,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,
24,14/04/2020 22:30,Staples Center,Los Angeles Lakers,Sacramento Kings,
24,15/04/2020 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
24,15/04/2020 19:30,TD Garden,Boston Celtics,Chicago Bulls,
24,15/04/2020 19:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
24,15/04/2020 19:30,Amway Center,Orlando Magic,Toronto Raptors,
24,15/04/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,
24,15/04/2020 19:30,Capital One Arena,Washington Wizards,Indiana Pacers,
24,15/04/2020 19:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,
24,15/04/2020 19:30,Toyota Center,Houston Rockets,Memphis Grizzlies,
24,15/04/2020 19:30,Target Center,Minnesota Timberwolves,New York Knicks,
24,15/04/2020 19:30,AT&T Center,San Antonio Spurs,New Orleans Pelicans,
24,15/04/2020 22:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,
24,15/04/2020 22:00,Moda Center,Portland Trail Blazers,LA Clippers,
24,15/04/2020 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
